FIPS Code,perc_hh_overcrowd,perc_belowpov150,perc_bipoc,perc_hhnovehicle,perc_approx_hs
42101006400,5.5,52.596989612041554,94.7000211999152,26.12393681652491,22.25991096035616
42101006500,2.5,34.67465753424658,98.6943493150685,35.45347467608952,8.072407045009784
42101006600,5.8,58.215547703180214,95.55359246171967,38.124156545209175,10.095911155981828
42101006700,0,46.33960345704118,98.84341637010677,32.77116402116402,13.98068124046772
42101007000,0.5,36.12610053961943,98.8923601249645,36.72279792746114,8.114577839087922
42101007101,0,39.18860595597756,93.39663357790246,45.398009950248756,11.036438744682163
42101007102,5.6,48.86561954624782,96.98952879581152,39.15492957746479,12.80852655198205
42101007200,4.6,48.353591160220994,98.25414364640883,31.461923290717063,11.365430149960536
42101007300,1,31.25948406676783,82.12443095599393,35.62113932738504,4.639063516150011
42101007400,1.5,37.52212389380531,91.20101137800253,42.571582928146945,12.028174101499006
